No.,Recipe_Name [string],IMG [url],Category [nominal],Ingredients,Kcal [int],Proteins in g [int],Fat in g [int],Carbohydrates [int],Fibre [int],Time in min [int],Veg [nominal]
1,Red-green breakfast salad,https://i2.wp.com/www.eatthis.com/wp-content/uploads/2019/07/red-green-breakfast-salad.jpg?resize=640%2C360&ssl=1,Breakfast,"1 lb asparagus, trimmed and cut into 2-inch pieces, 1 lb cherry or grape tomatoes, 6 cloves garlic, quartered, 1 Tbsp plus 2 tsp extra-virgin olive oil, 2 slices whole-wheat bread, cubed, 3 cups chopped stemmed kale, 3 cups baby spinach, 1 1/2 cups cooked quinoa, chilled, 4 cups water, 1 Tbsp vinegar, 8 eggs,1 Tbsp red wine vinegar (optional), Salt and black pepper to taste",410,23,18,,8,30,Vegetarian
2,Mushroom hash with poached eggs,http://4.bp.blogspot.com/_SHLjlZiBUSY/SXT9qmjDZVI/AAAAAAAAA7U/uKMam-EikiU/s1600/Lentil+and+Wild+Mushroom+Has+with+Poached+Eggs.jpg,Breakfast,"1 ½ tbsp rapeseed oil, 2 large onions halved and sliced, 500g closed cup mushrooms quartered, 1 tbsp fresh thyme leaves, 500g fresh tomatoes, 1 tsp smoked paprika, 4 tsp omega seed mix, 4 large eggs",283,15,17,15,6,27,Vegetarian
3,Spinach & Tuna Pancakes,https://thumbs.dreamstime.com/z/savory-tuna-pancakes-spinach-garlic-egg-fried-79064833.jpg,Breakfast,"2 tsp rapeseed oil, 2 garlic cloves, 250g baby spinach, 1 tbsp tomato purée, 120g can tuna steak in spring water drained, 200g cottage cheese, 2 large eggs, 4 tbsp plain wholemeal flour 200g can sweetcorn, 1 small red onion, 85g cherry tomatoes, 10 basil leaves chopped, 4 pitted Kalamata olives sliced, 2 tsp balsamic vinegar",539,38,19,48,10,25,Non-Vegetarian
4,American pancakes,https://images.kitchenstories.io/communityImages/4cd5495d4d0cc7e8516ce57f510161f7_ef19c9d3-0613-412b-aa24-fedd05e576ef/4cd5495d4d0cc7e8516ce57f510161f7_ef19c9d3-0613-412b-aa24-fedd05e576ef-large-landscape-150.jpg,Breakfast,"200g self-raising flour, 1 ½ tsp baking powder, 1 tbsp golden caster sugar, 3 large eggs, 5g melted butter, plus extra for cooking, 200ml milk vegetable oil, maple syrup, cooked bacon, chocolate chips, blueberries or peanut butter and jam",356,13,13,46,2,55,Vegetarian
5,Chicken Curry,"https://hips.hearstapps.com/del.h-cdn.co/assets/17/31/1501791674-delish-chicken-curry-horizontal.jpg?crop=1.00xw:0.750xh;0,0.159xh&resize=640:*",Lunch,"1 large onion, 6 garlic cloves,  50g ginger,  4 tbsp vegetable oil, 2 tsp cumin seeds, 1 tsp fennel seeds, 5cm cinnamon stick, 1 tsp chilli flakes, 1 tsp garam masala, 1 tsp turmeric, 1 tsp caster sugar,  400g can chopped tomatoes, 8 chicken thighs, skinned, boneless (about 800g), 250ml hot chicken stock, 2 tbsp chopped coriander",382,46.8,17.7,10.7,17.7,30,Non-Vegetarian
6,Egg Mayo Sandwich,https://144f2a3a2f948f23fc61-ca525f0a2beaec3e91ca498facd51f15.ssl.cf3.rackcdn.com/uploads/food_portal_data/recipes/recipe/hero_article_image/130/letterbox_resizeimage593x426xVj7DqFZWlS.jpg,Lunch,"3 medium  eggs, 2 tbsp mayo, ½ tbsp Greek yogurt, ½ tbsp mango chutney, ½ tbsp korma  curry paste, 2 spring onions sliced, 2 tbsp chopped corianderbutter, 4 slices soft brown bread",604,19,45,28,3,18,Vegetarian
7,Prawn sushi rolls,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/beste-sushi-amsterdam-1566315870.jpg,Lunch,"1 kirby cucumber or 1/2 regular cucumber, seeded and cut into matchsticks",171,1.12,0.11,7.77,0.2,30,Non-Vegetarian
8,Beef Tacos,https://sc.lbbcdn.com/wp-content/uploads/2019/07/Slow-Cooker-Beef-Tacos-v2.jpg,Lunch,"1/2 firm-ripe Haas avocado, peeled, thinly sliced lengthwise, sprinkled with lemon juice",169.8,12.6,11.4,3.9,0.7,30,Non-Vegetarian
9,Avocado Salad,https://hips.hearstapps.com/hmg-prod/images/avocado-salad-1524672116.png,Lunch,"8 large cooked prawns, peeled and cut in 1/2, lengthwise",727,23,42,51,28,30,Vegan
10,Mushroom risotto,https://hips.hearstapps.com/delish/assets/17/35/1504128527-delish-mushroom-risotto.jpg,Dinner,"50g dried porcini mushrooms, 1 vegetable stock cube, 2 tbsp olive oil, 1 onion, 2 garlic cloves, 250g pack chestnut mushrooms, 300g risotto rice, 1 x 175ml glass white wine, 25g butter, 50g parmesan or Grana Padano",445,15,17,63,4,30,Vegetarian
11,Healthy chicken katsu curry,https://realfood.tesco.com/media/images/RFO-LargeHero-KatsuCurry-c6411511-cab7-4fa2-9ace-9e68e4182754-0-1400x919.jpg,Dinner,Equipment: Bamboo sushi mat,585,47,16,58,9,55,Non-Vegetarian
12,Meatballs with Fennel & Balsamic Beans & Courgette Noodles,https://www.telegraph.co.uk/content/dam/food-and-drink/2019/07/03/PT20180531_3VM_SpaghettiMeatballs_533_1-xlarge_trans_NvBQzQNjv4Bq5TYBpLgmrbnwEHtt5Xn-LfP_3-5xbHwCkaTacnpOe7U.jpg,Dinner,"400g lean beef steak mince, 2 tsp dried oregano, 1 large egg, 8 garlic cloves , 1 finely grated, the other sliced, 1-2 tbsp olive oil, 1 fennel bulb , finely chopped, fronds reserved, 2 carrots , finely chopped, 500g carton passata, 4 tbsp balsamic vinegar, 600ml reduced-salt vegetable bouillon, For the courgette noodles, 1 tsp rapeseed oil, 1-2 large courgettes , cut into noodles with a julienne peeler or spiralizer, 350g frozen soya beans , thawed",380,37,14,20,11,75,Non-Vegetarian
13,Pizza Salami and Cherry pepper,https://previews.123rf.com/images/smspsy/smspsy1807/smspsy180704290/104825239-delicious-hot-pepper-pizza-with-salami-mozzarella-pepper-and-s.jpg,Dinner,"500g pack bread mix, 1 tbsp flour or semolina, 1 small jar pizza tomato sauce (about 150g), 100g pack salami sliced, 10 pickled cherry peppers halved, 1 red onion thinly sliced, large pinch crushed chilli flakes, 140g mozzarella  cut into 3cm cubes, handful  oregano leaves picked",612,25,22,82,8,30,Non-Vegetarian
14,"Chickpea, Tomato & Spinach Curry",https://g6t8s5u9.rocketcdn.me/wp-content/uploads/2018/07/10-Minute-Chickpea-and-Spinach-Curry-featured-b.jpg,Dinner,"1 onion, chopped, 2 garlic cloves, chopped, ginger, grated, 6 ripe tomatoes ½ tbsp oil, 1 tsp ground cumin, 2 tsp ground coriander, 1 tsp turmeric, chilli flakes, 1 tsp yeast extract (we used Marmite), 4 tbsp red lentils, 6 tbsp coconut cream, broccoli, broken into small florets, 400g can chickpeas, drained 100g bag baby spinach leaves lemon, halved 1 tbsp toasted sesame seed 1 tbsp chopped cashew, to mix with the sesame seeds",204,11,7,20,7,55,Vegan
15,Strawberry Milkshake,https://dhfsbruih37bu.cloudfront.net/comfy/cms/pages/main_images/000/001/164/desktop/strawberry_milkshake-1584x846-Ramona_King.jpg?1531857751,Snacks,"Strawberry, Milk, Vanilla Ice Cream",146,0,30.8,139.4,0,10,Vegetarian
16,Apple Pie,https://i.ytimg.com/vi/RoHWiA6pogg/maxresdefault.jpg,Snacks,"1kg Bramley apples, 140g golden caster sugar, ½ tsp cinnamon, 3 tbsp flour, 225g butter, room temperature, 50g golden caster sugar, plus extra 2 eggs, 350g plain flour, preferably organic, softly whipped cream, to serve",695,9,33,95,4,150,Non-Vegetarian
17,Chocolate Cake,https://natashabakes.com/wp-content/uploads/2018/12/moms-chocolate-cake-XL-RECIPE0918.jpg,Snacks,"3 ounces semisweet or bittersweet chocolate, chopped, 1 cup flat cola, 2 cups all-purpose flour, 1 cup unsweetened natural cocoa powder, 1 1/2 teaspoons baking soda, 1 teaspoon fine salt, 2 cups sugar, 3 large eggs, 1 cup buttermilk, 3/4 cup vegetable oil, 2 teaspoons pure vanilla ",370.7,5,22.6,75.3,3.9,45,Non-Vegetarian
18,Sweet-popcorn,https://www.sweetestmenu.com/wp-content/uploads/2014/04/sweetandsaltypopcorn1a.jpg,Snacks,"2 tbsp vegetable oil, 100g popcorn kernels, 250g caster sugar, 50g salted butter cubed",288,2,8,52,2,17,Vegan
